Номер варианта;ID;INCOME_BASE_TYPE;CREDIT_PURPOSE;INSURANCE_FLAG;DTI;SEX;FULL_AGE_CHILD_NUMBER;DEPENDANT_NUMBER;EDUCATION;EMPL_TYPE;EMPL_SIZE;BANKACCOUNT_FLAG;Period_at_work;age;EMPL_PROPERTY;EMPL_FORM;FAMILY_STATUS;max90days;max60days;max30days;max21days;max14days;avg_num_delay;if_zalog;num_AccountActive180;num_AccountActive90;num_AccountActive60;Active_to_All_prc;numAccountActiveAll;numAccountClosed;sum_of_paym_months;all_credits;Active_not_cc;own_closed;min_MnthAfterLoan;max_MnthAfterLoan;dlq_exist;thirty_in_a_year;sixty_in_a_year;ninety_in_a_year;thirty_vintage;sixty_vintage;ninety_vintage
2;1144082;Форма банка (без печати работодателя);Ремонт;0;0.56;женский;0;0;Высшее/Второе высшее/Ученая степень;специалист;>=50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;1144102;2НДФЛ;Покупка автомобиля;1;0.54;женский;0;0;Высшее/Второе высшее/Ученая степень;специалист;>250;0;7;38;Другое;ОАО;холост / не замужем;1;1;1;1;0;0.2719298246;1;0;0;0;0.2;2;3;83;5;2;0;26;91;1;0;0;0;0;0;0
2;1144122;2НДФЛ;Покупка недвижимости/ строительство;1;0.49;женский;0;0;высшее;рабочий;>250;0;25;49;Торговля;ОАО;гражданский брак;3;3;3;3;1;0;0;2;0;0;1;2;0;2;2;1;0;3;3;0;0;0;0;0;0;0
2;1144142;Поступление зарплаты на счет;Ремонт;1;0.55;мужской;0;0;высшее;вспомогательный персонал;>=150;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;1144162;Поступление зарплаты на счет;Ремонт;0;0.23;мужской;1;0;среднее-специальное;рабочий;>250;0;43;38;Торговля;ООО;женат / замужем;0;0;0;0;0;0;1;0;0;0;0.5;4;4;65;8;2;0;12;97;0;0;0;0;0;0;0
2;1144182;Форма банка (без печати работодателя);Ремонт;1;0.23;мужской;1;0;высшее;специалист;>250;0;14;38;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;1144202;2НДФЛ;Ремонт;1;0.26;мужской;0;0;высшее;рабочий;>=200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;1144222;Форма банка (без печати работодателя);Ремонт;0;0.4;мужской;1;0;среднее-специальное;рабочий;>250;0;150;36;Сельское и лесное хозяйство;ООО;разведен / разведена;7;4;3;2;2;0.0148148148;0;1;1;1;0.2142857143;3;11;133;14;2;1;1;107;1;0;0;0;0;0;0
2;1144242;Форма банка (без печати работодателя);Ремонт;1;0.56;женский;0;0;среднее-специальное;специалист;>100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;1144262;Поступление зарплаты на счет;Покупка недвижимости/ строительство;1;0.22;женский;2;0;второе высшее;менеджер среднего звена;< 50;0;88;37;Другое;ООО;женат / замужем;0;0;0;0;0;0;0;0;0;0;0;0;7;77;7;0;1;10;59;0;0;0;0;0;0;0
2;1144282;Поступление зарплаты на счет;Покупка автомобиля;0;0.59;мужской;0;0;высшее;специалист;>250;0;12;26;Другое;ЗАО;холост / не замужем;4;2;2;2;0;0;0;2;2;0;1;3;0;4;3;1;0;2;37;0;0;0;0;0;0;0
2;1144302;2НДФЛ;Ремонт;1;0.49;женский;0;0;высшее;вспомогательный персонал;>250;0;35;29;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;1144322;2НДФЛ;Ремонт;0;0.58;женский;0;0;Высшее/Второе высшее/Ученая степень;специалист;>250;0;59;49;Государственная служба;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;1144342;Форма банка (без печати работодателя);Покупка автомобиля;1;0.2;мужской;1;0;высшее;менеджер среднего звена;>250;0;11;25;Торговля;ООО;женат / замужем;1;1;1;1;1;0.1538461538;0;0;0;0;0;0;1;11;1;0;0;19;19;1;0;0;0;0;0;0
2;1144362;Свободная форма с печатью работодателя;Покупка недвижимости/ строительство;1;0.42;женский;0;0;второе высшее;специалист;>250;0;45;35;Торговля;ООО;женат / замужем;1;1;1;1;1;0;0;0;0;0;1;1;0;1;1;0;0;15;15;0;0;0;0;0;0;0
2;1144382;Поступление зарплаты на счет;Ремонт;1;0.29;мужской;1;0;среднее;вспомогательный персонал;>250;0;6;54;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;1144402;Форма банка (без печати работодателя);Ремонт;1;0.49;женский;2;0;высшее;менеджер среднего звена;>250;0;90;38;Торговля;ООО;женат / замужем;2;1;1;1;1;0.0060606061;0;1;0;0;0.1333333333;2;13;164;15;2;3;3;84;1;0;0;0;0;0;0
